Name,Labelbox category,Labelbox Object Title,Labelbox Title or Answer Text,Supervisely Values,Supervisely Category,Checkbox for follow-up,Assigned to
"""Splayed base (Plinth)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Splayed base (Plinth)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Splayed base (Plinth)""","""Splayed base (Plinth)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Door""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Door (Round-headed)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Door""","""Door (Round-headed)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Visible Floor (Only if in the polygonal trace)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Visible Floor (Only if in the polygonal trace)""","""Top""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Bell tower""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Belltower top"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Bell tower""","""Belltower top""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Roof""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof""","""Roof front""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Albarrana (an arched bridge connecting to the walls that is parallel to the facade plane)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Albarrana (An Arched bridge connecting a tower to the walls)"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Albarrana (an arched bridge connecting to the walls that is parallel to the facade plane)""","""Albarrana (An Arched bridge connecting a tower to the walls)""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Machicolations""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Machicolations"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Machicolations""","""Machicolations""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Corner turrets""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Corbelled corner turrets"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Corner turrets""","""Corbelled corner turrets""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Horizontal Banding""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Horizontal banding"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Horizontal Banding""","""Horizontal banding""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Embrasures""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Embrasures"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Embrasures""","""Embrasures""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Facade Shape""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Facade Shape""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Round""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Round facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round""","""Round facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular front facade""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular back side (""hollow"" entrance visible)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Back side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular back side (""hollow"" entrance visible)""","""Back side""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular side facade""","""Side facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Round chimney""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Chimney round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round chimney""","""Chimney round""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular chimney - front face""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Chimney front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular chimney - front face""","""Chimney front""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular chimney - side-face""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular chimney - side-face""","""Side facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Polygonal front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal front facade""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Polygonal side facade (several)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal side facade (several)""","""Side facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Round Top""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Round Top""","""Top""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rectangular Top""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Top"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rectangular Top""","""Top""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Roof-front""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof front"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof-front""","""Roof front""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Roof-side""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Roof side"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Roof-side""","""Roof side""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Front facade or side facade?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Front Facade, Side Facade, Round, Eave, Top, or Back side?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Front facade or side facade?""","""* Front Facade, Side Facade, Round, Eave, Top, or Back side?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Front facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Front facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Front facade""","""Front facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Side facade""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Side facade"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Side facade""","""Side facade""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Underside""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Underside""","""Underside""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Shape""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Shape""",,,,Abbey List
"""Rounded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Round"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Rounded""","""Round""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Polygonal""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Polygonal"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Polygonal""","""Polygonal""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Corbels (underside)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Underside"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Corbels (underside)""","""Underside""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Crenellated, Flat, or Both""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Crenellated, flat or both?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Crenellated, Flat, or Both""","""* Crenellated, flat or both?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Crenellated""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Crenellated"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Crenellated""","""Crenellated""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Flat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Flat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Flat""","""Flat""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Both""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Both"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Both""","""Both""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Complete or partially occluded (covered up)?""-""objects"" -> ""classifications"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Complete or partially occluded (covered up)?""","""* Partially occluded or Complete?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Complete""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Complete""","""Complete""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Partially occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""fortification element"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""fortification element"""" """"objects"""" -> """"title""""""","""Partially occluded""","""Partially Occluded""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Vessel type""-""objects"" -> ""classifications"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""* Vessel type"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Vessel type""","""* Vessel type""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Ship""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Ship"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Ship""","""Ship""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Rowboat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Rowboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Rowboat""","""Rowboat""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Small Sailboat""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Small Sailboat"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Small Sailboat""","""Small Sailboat""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Canoe""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""===>""""""Canoe"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""watercraft by method of propulsion"""" """"objects"""" -> """"title""""""","""Canoe""","""Canoe""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Tree, bush or Reeds?""-""objects"" -> ""classifications"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>","""objects"" -> ""classifications"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Tree, bush or Reeds?""",,,,Abbey List
"""Tree""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Trees"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Tree""","""Trees""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Reed (Only trace 2 complete examples, but create a carefully traced container)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Reeds"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Reed (Only trace 2 complete examples, but create a carefully traced container)""","""Reeds""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Bush""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Trees"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Bush""","""Trees""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Tree type""-""objects"" -> ""classifications"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""* Tree Type"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Tree type""","""* Tree Type""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Deciduous (Most common, broccoli-like)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Deciduous (Most common, broccoli-like)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Deciduous (Most common, broccoli-like)""","""Deciduous (Most common, broccoli-like)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Cyprus (Sharply pointed)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Cyprus (Sharply pointed"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Cyprus (Sharply pointed)""","""Cyprus (Sharply pointed""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Olives (Shorter, bent)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Olives (Shorter, bent)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Olives (Shorter, bent)""","""Olives (Shorter, bent)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Round-topped (Lollypop-like)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Round-topped (Lollypop-like)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Round-topped (Lollypop-like)""","""Round-topped (Lollypop-like)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Palm (Visible fronds - Portelo2)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Palm (Visible fronds - Portelo2)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Palm (Visible fronds - Portelo2)""","""Palm (Visible fronds - Portelo2)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Dead (Branches only)""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Dead (Branches only)"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Dead (Branches only)""","""Dead (Branches only)""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Complete or partially occluded?""-""objects"" -> ""classifications"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""* Partially occluded or Complete?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Complete or partially occluded?""","""* Partially occluded or Complete?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Complete""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Complete"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Complete""","""Complete""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Partially Occluded""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Partially Occluded"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Partially Occluded""","""Partially Occluded""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Singular or a sample from a group?""-""objects"" -> ""classifications"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""* Singular or sample from a group?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Singular or a sample from a group?""","""* Singular or sample from a group?""","""objects"" -> tags"" -> ""name""",,Abbey List
"""Singular""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Single"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""Singular""","""Single""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""A sample from a group""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""plant"""" """"objects"""" -> """"title""""""===>""""""Sample from a group"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""plant"""" """"objects"""" -> """"title""""""","""A sample from a group""","""Sample from a group""","""objects"" -> ""tags"" -> ""value""",,Abbey List
"""Contains nails?""-""objects"" -> ""classifications"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""* Contains nails?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""Contains nails?""","""* Contains nails?""","""objects"" -> tags"" -> ""name""",,Samy Boutouis
"""has visible nails""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""Has viisble nails"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""has visible nails""","""Has viisble nails""","""objects"" -> ""tags"" -> ""value""",,Samy Boutouis
"""no visible nails""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""No visible nails"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""no visible nails""","""No visible nails""","""objects"" -> ""tags"" -> ""value""",,Samy Boutouis
"""Solitary, or in a shrine?""-""objects"" -> ""classifications"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""* Solitary or shrined?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""Solitary, or in a shrine?""","""* Solitary or shrined?""","""objects"" -> tags"" -> ""name""",,Samy Boutouis
"""Solitary""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""Solitary"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""Solitary""","""Solitary""","""objects"" -> ""tags"" -> ""value""",,Samy Boutouis
"""Shrined""-""objects"" -> ""classifications"" -> ""answer"" -> ""title""-""""""cross monuments"""" """"objects"""" -> """"title""""""===>""""""Shrined"""" """"objects"""" -> """"tags"""" -> """"value""""""","""objects"" -> ""classifications"" -> ""answer"" -> ""title""","""""""cross monuments"""" """"objects"""" -> """"title""""""","""Shrined""","""Shrined""","""objects"" -> ""tags"" -> ""value""",,Samy Boutouis
"""Gallows or Pillory? (Gazeebo-looking structure on top of a pillar)""-""objects"" -> ""classifications"" -> ""title""-""""""gallows and pillories"""" """"objects"""" -> """"title""""""===>""""""* Gallows or Pillory?"""" """"objects"""" -> tags"""" -> """"name""""""","""objects"" -> ""classifications"" -> ""title""","""""""gallows and pillories"""" """"objects"""" -> """"title""""""","""Gallows or Pillory? (Gazeebo-looking structure on top of a pillar)""","""* Gallows or Pillory?""","""objects"" -> tags"" -> ""name""",,Samy Boutouis
